,time,train_accuracy,epochs
0,1554749526.273754,0.015625,0
1,1554749739.107139,0.25,1
2,1554749952.84731,0.34375,2
3,1554750165.689051,0.40625,3
4,1554750377.824552,0.46875,4
5,1554750589.326244,0.390625,5
6,1554750799.339397,0.515625,6
7,1554751011.381078,0.5,7
8,1554751224.006211,0.515625,8
9,1554751436.790602,0.4375,9
10,1554751647.944086,0.5,10
11,1554751859.863603,0.4375,11
12,1554752071.196125,0.5625,12
13,1554752284.016871,0.5,13
14,1554752495.001934,0.5625,14
15,1554752707.200237,0.625,15
16,1554752919.421849,0.578125,16
17,1554753131.332062,0.5625,17
18,1554753343.56126,0.609375,18
19,1554753554.787554,0.5625,19
20,1554753768.829758,0.5625,20
21,1554753983.269882,0.640625,21
22,1554754194.225468,0.609375,22
23,1554754408.390944,0.640625,23
24,1554754620.338347,0.6875,24
25,1554754834.315615,0.71875,25
26,1554755045.876883,0.640625,26
27,1554755257.151219,0.65625,27
28,1554755468.028023,0.625,28
29,1554755678.33907,0.59375,29
30,1554755890.387763,0.703125,30
31,1554756100.944513,0.5625,31
32,1554756312.724399,0.703125,32
33,1554756523.915616,0.625,33
34,1554756735.653532,0.703125,34
35,1554756946.702758,0.671875,35
36,1554757157.744168,0.671875,36
37,1554757367.720697,0.703125,37
38,1554757578.075735,0.671875,38
39,1554757790.455668,0.6875,39
40,1554758006.09489,0.578125,40
41,1554758218.448325,0.5625,41
42,1554758432.848811,0.625,42
43,1554758646.18201,0.65625,43
44,1554758857.493629,0.78125,44
45,1554759068.153352,0.625,45
46,1554759283.122633,0.671875,46
47,1554759495.544369,0.609375,47
48,1554759707.886173,0.796875,48
49,1554759918.895562,0.703125,49
50,1554760129.876976,0.59375,50
51,1554760339.562073,0.8125,51
52,1554760551.331978,0.703125,52
53,1554760761.487044,0.65625,53
54,1554760973.39447,0.703125,54
55,1554761188.697614,0.796875,55
56,1554761404.912321,0.703125,56
57,1554761618.658864,0.59375,57
58,1554761828.381034,0.71875,58
59,1554762040.506673,0.671875,59
60,1554762254.491964,0.796875,60
61,1554762466.536863,0.796875,61
62,1554762678.589888,0.59375,62
63,1554762893.661469,0.59375,63
64,1554763106.270904,0.703125,64
65,1554763316.25076,0.640625,65
66,1554763529.737217,0.609375,66
67,1554763740.785498,0.71875,67
68,1554763951.127824,0.609375,68
69,1554764163.542804,0.703125,69
70,1554764375.276974,0.671875,70
71,1554764586.670198,0.65625,71
72,1554764796.527814,0.765625,72
73,1554765010.139548,0.59375,73
74,1554765222.606561,0.59375,74
75,1554765435.539243,0.609375,75
76,1554765646.70216,0.75,76
77,1554765859.666894,0.6875,77
78,1554766070.920669,0.640625,78
79,1554766283.385098,0.59375,79
80,1554766495.718738,0.71875,80
81,1554766709.657311,0.6875,81
82,1554766920.798289,0.65625,82
83,1554767133.150779,0.765625,83
84,1554767344.760236,0.703125,84
85,1554767555.35165,0.734375,85
